player_name,matched_name,score
Luis Alberto Suárez Díaz,Luis Suárez,100.0
Nicolás Ladislao Fedor Flores,Nicolás López,70.0
Borja González Tomás,Ian González,80.0
Javier Guerra Rodríguez,Juan Rodríguez,78.26086956521739
Jonathas Cristian de Jesus,Cristian Gómez,72.72727272727272
Francisco Alcácer García,Paco Alcácer,73.6842105263158
Sergio Ezequiel Araújo,Ezequiel Garay,72.72727272727272
Fernando José Torres Sanz,Fernando Torres,100.0
Youssef El-Arabi,Youssef El Arabi,81.25
Fernando Llorente Torres,Fernando Torres,100.0
Deyverson Brum Silva Acosta,David Silva,62.5
John Guidetti,Jon Echaide,58.333333333333336
Manuel Agudo Durán,Manuel Pablo,66.66666666666666
Giuseppe Rossi,Fausto Rossi,61.53846153846154
Duje Čop,Duje Cop,87.5
Felipe Salvador Caicedo Corozo,Salvador Agra,76.19047619047619
Sergio Enrich Ametller,Sergio Mora,70.58823529411765
Stefan Šćepović,Stefan Babovic,68.9655172413793
Rodrigo Moreno Machado,Álex Moreno,70.58823529411765
Roberto Soldado Rillo,Roberto Soldado,100.0
Leonardo Carrilho Baptistão,Léo Baptistão,81.81818181818181
Jorge Andújar Moreno,Álex Moreno,70.58823529411765
Armindo Tué Na Bangna,Manuel Arana,48.484848484848484
Juan Pablo Añor Acosta,Pablo Pérez,62.5
Miguel Ángel Guerrero Martín,Miguel Ángel Moyá,82.75862068965517
Yevhen Konoplyanka,Steven Nzonzi,45.16129032258065
Jorge Franco Alviz,Leo Franco,75.0
Francisco Román Alarcón Suárez,Luis Suárez,70.58823529411765
Santiago Mina Lorenzo,Lorenzo Reyes,70.0
Diego Roberto Godín Leal,Roberto,100.0
Nabil Ghilas,Nabil El Zhar,64.0
Federico Nicolás Cartabia,Fede Cartabia,76.19047619047619
James David Rodríguez Rubio,David Rodríguez,100.0
Ignacio Camacho Barnola,Juanjo Camacho,66.66666666666666
Sergio Gontán Gallardo,Sergio Mora,70.58823529411765
Pedro León Sánchez Gil,Pedro León,100.0
Joaquín Sánchez Rodríguez,Joaquín,100.0
Alfred John Momar N''Diaye,Alfred N'Diaye,70.0
Heiko Westermann,Sergio Tejera,55.172413793103445
Ismael López Blanco,Pau López,71.42857142857143
Daniel Parejo Muñoz,Dani Parejo,73.33333333333333
Juan Carlos Pérez López,Juan Carlos,100.0
Jorge Resurrección Merodio,Jorge Ortí,66.66666666666666
Adalberto Peñaranda Maestre,Alberto Martín,58.53658536585366
Sérgio Paulo Barbosa Valente,Mariano Barbosa,63.63636363636363
Tiago Manuel Dias Correia,Manuel Pablo,66.66666666666666
Grzegorz Krychowiak,Guillermo Ochoa,47.05882352941177
Moisés Gómez Bordonado,Moi Gómez,71.42857142857143
Adil Rami,Aythami Artiles,58.333333333333336
Zouhair Feddal,Foued Kadir,56.0
Jonathan Rodríguez Menéndez,Juan Rodríguez,78.26086956521739
Francisco Manuel Rico Castro,Zé Castro,80.0
Víctor Guillermo Álvarez Delgado,Guillermo Sara,78.26086956521739
Sergio Ramos García,Sergio García,100.0
Samuel Castillejo Azuaga,Samu Castillejo,80.0
José Luis García del Pozo,José Pozo,100.0
Alejandro Bergantiños García,Álex Bergantiños,81.48148148148148
Fayçal Fajr,Rafael Martins,48.0
Aymen Abdennour,Abel Gómez,48.0
Carlos Henrique Casimiro,Carlos Peña,70.58823529411765
Aleksandar Pantić,Alexandre Pato,70.96774193548387
Juan Torres Ruiz,Juanfran Torres,70.96774193548387
